epoch,Training Loss,Valid. Loss,Valid. Accur.,Training Time,Validation Time,Precision,Recall,F1 Score
1,0.6877850442073914,0.681716577725464,0.6063904494382022,0:02:24,0:00:19,0.7419989623408674,0.5520349058261955,0.6330735808007368
2,0.6768255000053911,0.6712700506944335,0.6381671348314607,0:02:26,0:00:19,0.7470231351649075,0.6262319840807675,0.6813151810357305
3,0.6667813456108943,0.6624492915828576,0.659936797752809,0:02:26,0:00:20,0.7377683055072357,0.7002325338493346,0.7185105263084787
4,0.6584831913368322,0.6540469426787301,0.6581811797752809,0:02:26,0:00:20,0.7556477998231081,0.6597762979361915,0.7044651969684087
5,0.6504358633280809,0.6472307483801681,0.6711727528089888,0:02:27,0:00:19,0.7400585770477878,0.7206728563641739,0.7302370804084976
6,0.6437189107385105,0.6413673704929566,0.667310393258427,0:02:25,0:00:19,0.7514856294161106,0.6883019574829476,0.7185074165855795
7,0.6382422559856528,0.6346613557151194,0.6671348314606742,0:02:27,0:00:20,0.7698203388040359,0.6562572883646807,0.7085171219949965
8,0.6311931914435791,0.6303104322947813,0.6897823033707865,0:02:27,0:00:19,0.7373235124339277,0.7722279337432824,0.7543721864519353
9,0.6255958250110341,0.6235311027992977,0.691186797752809,0:02:26,0:00:19,0.7515560791565467,0.7449274974361293,0.7482271078493516
10,0.6209003544913024,0.6205109381273891,0.6767907303370787,0:02:27,0:00:20,0.772894216284135,0.6731388433547318,0.7195756906346191
